ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALID_TO,District,DISTRICT_PCODE,AREA_SQKM
Illam,NP0103302,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Ilam,NP0103,172.7100117
Inaruwa,NP0106303,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sunsari,NP0106,77.74369023
Indrasarowar,NP0331405,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Makawanpur,NP0331,97.32749259
Indrawati,NP0323405,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sindhupalchok,NP0323,105.0707174
Ishanath,NP0232313,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rautahat,NP0232,35.16088571
Ishworpur,NP0219306,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sarlahi,NP0219,163.7482014
Isma,NP0551404,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Gulmi,NP0551,81.88306255
Itahari,NP0106202,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sunsari,NP0106,93.55243297
Jagadulla,NP0662402,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dolpa,NP0662,777.4279613
Jagarnathpur,NP0234405,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Parsa,NP0234,45.28993979
Jahada,NP0105407,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Morang,NP0105,62.22106826
Jaimuni,NP0443304,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Baglung,NP0443,118.7314115
Jaleswor,NP0218309,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Mahottari,NP0218,44.23082847
Jaljala,NP0442401,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Parbat,NP0442,82.27218538
Janaki,NP0771406,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kailali,NP0771,107.0827883
Janaknandani,NP0217406,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhanusha,NP0217,27.59125011
Janakpurdham,NP0217201,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhanusha,NP0217,91.90645005
Janki,NP0557403,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Banke,NP0557,63.25120817
Jantedhunga,NP0112408,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Khotang,NP0112,128.3833013
Jaya Prithivi,NP0767302,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajhang,NP0767,166.5167053
Jhapa,NP0104404,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Jhapa,NP0104,93.79083806
Jhimruk,NP0555403,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Pyuthan,NP0555,106.9217769
Jirabhawani,NP0234402,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Parsa,NP0234,55.39436902
Jiri,NP0322302,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dolakha,NP0322,211.0465611
Jitpur Simara,NP0233201,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bara,NP0233,311.1216579
Jorayal,NP0770404,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Doti,NP0770,418.1151726
Joshipur,NP0771404,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kailali,NP0771,65.44759436
Jugal,NP0323403,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sindhupalchok,NP0323,596.2133215
Junichande,NP0660401,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Jajarkot,NP0660,345.9520062
Jwalamukhi,NP0330406,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhading,NP0330,112.9031685
K I Singh,NP0770405,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Doti,NP0770,126.7615426
Kabilasi,NP0219307,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sarlahi,NP0219,48.090181
Kachankawal,NP0104407,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Jhapa,NP0104,109.2393452
Kageshwori Manahora,NP0327306,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kathmandu,NP0327,27.36975086
Kaike,NP0662405,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dolpa,NP0662,466.597599
Kailari,NP0771402,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kailali,NP0771,232.7641665
Kailash,NP0331403,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Makawanpur,NP0331,204.4963348
Kakani,NP0328409,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Nuwakot,NP0328,87.95219809
Kalaiya,NP0233202,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bara,NP0233,109.9839589
Kaligandagi,NP0441406,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Syangja,NP0441,73.52543398
Kaligandaki,NP0551410,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Gulmi,NP0551,101.0288578
Kalika,NP0329404,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rasuwa,NP0329,42.49547526
Kalika,NP0335301,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Chitawan,NP0335,149.1004525
Suvakalika,NP0664405,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kalikot,NP0664,97.20783396
Kalikamai,NP0234408,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Parsa,NP0234,24.33677154
Kalimati,NP0653404,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Salyan,NP0653,500.2882297
Kalinchok,NP0322403,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dolakha,NP0322,132.3768895
Kalyanpur,NP0216306,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Siraha,NP0216,76.73793008
Kamal,NP0104401,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Jhapa,NP0104,104.2348911
Kamala,NP0217311,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhanusha,NP0217,65.78612841
Kamalamai,NP0320301,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sindhuli,NP0320,482.2222155
Kamalbazar,NP0769303,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Achham,NP0769,120.6064781
Kanakasundari,NP0663401,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Jumla,NP0663,225.2402926
Kanchan,NP0548401,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rupandehi,NP0548,58.50664825
Kanchanrup,NP0215305,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Saptari,NP0215,117.1190797
Saipal,NP0767401,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajhang,NP0767,1465.115099
Kanepokhari,NP0105403,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Morang,NP0105,82.06761632
Kankai,NP0104303,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Jhapa,NP0104,78.81613953
Kanthekhola,NP0443405,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Baglung,NP0443,82.89374141
Kapilbastu,NP0549306,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kapilbastu,NP0549,136.9046376
Kapurkot,NP0653407,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Salyan,NP0653,119.1572323
Karaiyamai,NP0233403,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bara,NP0233,47.68231138
Karjanha,NP0216301,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Siraha,NP0216,76.76986786
Katahari,NP0105406,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Morang,NP0105,51.46210466
Katahariya,NP0232304,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rautahat,NP0232,40.68564684
Katari,NP0114301,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Udayapur,NP0114,424.3909793
Kathmandu,NP0327101,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kathmandu,NP0327,49.4434514
Kaudena,NP0219406,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sarlahi,NP0219,25.31959576
Kawasoti,NP0447302,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Nawalparasi East,NP0447,108.3658911
Kedarseu,NP0767405,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajhang,NP0767,113.6850027
Kepilasagadhi,NP0112402,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Khotang,NP0112,191.2362645
Kerabari,NP0105401,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Morang,NP0105,219.2587185
Khadadevi,NP0321405,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Ramechhap,NP0321,150.3640495
Khadak,NP0215302,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Saptari,NP0215,96.62604288
Khairahani,NP0335303,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Chitawan,NP0335,85.56627718
Khajura,NP0557401,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Banke,NP0557,101.7902548
Sahidbhumi,NP0107401,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhankuta,NP0107,99.32027576
Khandachakra,NP0664302,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kalikot,NP0664,133.1466695
Khandbari,NP0109301,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sankhuwasabha,NP0109,122.4998125
Khanikhola,NP0324406,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kabhrepalanchok,NP0324,131.6091518
Khaniyabash,NP0330403,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhading,NP0330,105.1881694
Khaptad National Park,NP0767597,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajhang,NP0767,69.98995899
Khaptad National Park,NP0768597,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajura,NP0768,7.549363963
Khaptad National Park,NP0769597,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Achham,NP0769,38.74215631
Khaptad National Park,NP0770597,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Doti,NP0770,94.73216677
Khaptadchhanna,NP0767410,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajhang,NP0767,113.333305
Kharpunath,NP0666403,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Humla,NP0666,879.4056024
Khatyad,NP0665401,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Mugu,NP0665,280.8812119
Khijidemba,NP0113401,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Okhaldhunga,NP0113,179.5654401
Khotehang,NP0112406,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Khotang,NP0112,163.8005735
Khumbupasanglahmu,NP0111401,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Solukhumbu,NP0111,1536.69228
Kirtipur,NP0327309,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kathmandu,NP0327,14.75703396
Kispang,NP0328402,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Nuwakot,NP0328,82.56511137
Kohalpur,NP0557301,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Banke,NP0557,184.0658417
Kolhabi,NP0233302,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bara,NP0233,157.3847296
Konjyosom,NP0325402,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Lalitpur,NP0325,44.15020317
Koshi,NP0106401,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sunsari,NP0106,75.8326992
Koshi Tappu Wildlife Reserve,NP0106595,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sunsari,NP0106,66.88750156
Koshi Tappu Wildlife Reserve,NP0114595,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Udayapur,NP0114,5.374540622
Koshi Tappu Wildlife Reserve,NP0215595,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Saptari,NP0215,70.55433397
Kotahimai,NP0548408,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rupandehi,NP0548,58.25515306
Krishnanagar,NP0549304,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kapilbastu,NP0549,96.63362173
Krishnapur,NP0772305,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kanchanpur,NP0772,252.065846
Kumakha,NP0653401,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Salyan,NP0653,177.1799898
Kummayak,NP0102404,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Panchthar,NP0102,128.910161
Kuse,NP0660402,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Jajarkot,NP0660,273.8056557
Kushma,NP0442301,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Parbat,NP0442,93.19385997
Kwholasothar,NP0437401,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Lamjung,NP0437,175.4079129
Lahan,NP0216305,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Siraha,NP0216,166.9566172
Lakshminiya,NP0217402,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhanusha,NP0217,30.63483663
Lalbandi,NP0219303,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sarlahi,NP0219,238.3808599
Laligurans,NP0108301,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Terhathum,NP0108,90.02479002
Lalitpur,NP0325101,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Lalitpur,NP0325,36.11238441
Laljhadi,NP0772402,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kanchanpur,NP0772,154.2144588
Lamahi,NP0556301,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dang,NP0556,326.5364681
Rawa Besi,NP0112403,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Khotang,NP0112,97.27107635
Lamkichuha,NP0771306,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kailali,NP0771,224.6212424
Langtang National Park,NP0328597,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Nuwakot,NP0328,88.52172602
Laxmipur Patari,NP0216406,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Siraha,NP0216,42.27948396
Lekam,NP0775406,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Darchula,NP0775,83.75376101
Lekbeshi,NP0659304,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Surkhet,NP0659,180.7484282
Letang,NP0105301,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Morang,NP0105,218.6193511
Likhu,NP0113402,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Okhaldhunga,NP0113,87.94180548
Likhnu Tamakosh,NP0321406,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Ramechhap,NP0321,124.3891575
Likhu,NP0328406,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Nuwakot,NP0328,47.87728304
Likhupike,NP0111403,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Solukhumbu,NP0111,124.2309118
Lisangkhu Pakhar,NP0323409,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sindhupalchok,NP0323,98.56222857
Loharpatti,NP0218308,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Mahottari,NP0218,50.03275398
Lomanthang,NP0445401,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Mustang,NP0445,724.1736001
Lumbini Sanskritik,NP0548304,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rupandehi,NP0548,112.2173779
Lumbini Sanskritik Development Area,NP0548599,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rupandehi,NP0548,7.856750227
Lungri,NP0554408,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rolpa,NP0554,135.2158962
Machhapuchchhre,NP0439402,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kaski,NP0439,544.6993547
Madane,NP0551401,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Gulmi,NP0551,94.52162611
Madhav Narayan,NP0232311,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rautahat,NP0232,48.51800463
Madhuwan,NP0558302,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bardiya,NP0558,129.5302851
Madhya Nepal,NP0437301,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Lamjung,NP0437,113.8791939
Madhyabindu,NP0447301,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Nawalparasi East,NP0447,233.4015201
Madhyapur Thimi,NP0326301,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bhaktapur,NP0326,11.10908482
Madi,NP0109305,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sankhuwasabha,NP0109,109.8156831
Madi,NP0335305,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Chitawan,NP0335,218.283021
Madi,NP0439403,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kaski,NP0439,563.120921
Madi,NP0554404,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rolpa,NP0554,129.0095898
Mahabharat,NP0324407,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kabhrepalanchok,NP0324,185.9219838
Mahabu,NP0661403,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dailekh,NP0661,110.6857894
Mahadeva,NP0215405,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Saptari,NP0215,34.90903658
Mahagadhimai,NP0233303,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bara,NP0233,55.31486473
Mahakali,NP0772301,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kanchanpur,NP0772,56.64431899
Mahakali,NP0775301,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Darchula,NP0775,134.7640243
Mahakulung,NP0111402,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Solukhumbu,NP0111,646.8778256
Mahalaxmi,NP0107301,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhankuta,NP0107,129.0709641
Mahalaxmi,NP0325302,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Lalitpur,NP0325,26.49876005
Mahankal,NP0325403,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Lalitpur,NP0325,82.41667951
Maharajgunj,NP0549305,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kapilbastu,NP0549,112.2168188
Mahashila,NP0442404,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Parbat,NP0442,49.38834089
